date,open,high,low,close,volume,kd_k,kd_d
2026-02-21 00:27:12.811942,322.91873926480065,324.80286873610885,321.3907365399146,323.4852292725879,8858474,50.0,50.0
2026-02-22 00:27:12.811942,321.79741513627704,323.536665370996,321.2825653275459,322.8751739594482,7745067,50.0,50.0
2026-02-23 00:27:12.811942,322.4373216044342,325.0986426067705,320.0958322492185,322.83594710449484,1190344,50.0,50.0
2026-02-24 00:27:12.811942,320.59121342175297,323.1402072135903,319.66273766708366,322.25646157276435,3192915,50.0,50.0
2026-02-25 00:27:12.811942,319.4906143292017,323.42910939587057,319.5614380022974,320.74981576044104,6587598,50.0,50.0
2026-02-26 00:27:12.811942,323.4119922940474,325.7147940015133,322.2879144957085,323.4530874533056,2679572,50.0,50.0
2026-02-27 00:27:12.811942,319.3659395173526,322.1965337140524,319.3657138369133,320.06411239158734,3739650,50.0,50.0
2026-02-28 00:27:12.811942,320.60223541894806,322.4115915566567,319.1035858501093,321.3764090676643,3726749,50.0,50.0
2026-03-01 00:27:12.811942,319.325956505752,322.04824185067633,318.73811600204095,321.2045630660185,9938430,45.12,48.37
2026-03-02 00:27:12.811942,323.4159091900982,327.3198008890798,323.04103185887857,324.3849287866783,8413943,52.01,49.59
2026-03-03 00:27:12.811942,321.4934404496252,323.03486144633064,322.2632172760136,322.64150743263514,1268245,49.84,49.67
2026-03-04 00:27:12.811942,322.1248667264805,324.61560749958,319.32486101090575,322.29662224956803,4963204,47.05,48.79
2026-03-05 00:27:12.811942,322.1113563239517,325.2226312510349,320.7510975016067,323.6179048617514,1933169,50.32,49.3
2026-03-06 00:27:12.811942,320.6849025709382,321.8914510845544,318.69546616223107,320.79046240990164,1142033,41.64,46.75
2026-03-07 00:27:12.811942,321.7922815171988,322.396249632856,319.3205564890109,322.0140873316352,9685342,40.59,44.7
2026-03-08 00:27:12.811942,320.2228845830572,324.5671943892032,319.3275236742164,321.6399461533884,6278905,38.44,42.61
2026-03-09 00:27:12.811942,321.9905090610031,325.7774699983271,322.55157431658046,323.471406253667,5831143,44.09,43.1
2026-03-10 00:27:12.811942,325.6856870259493,327.76198679857805,324.6737954711371,325.9692549425208,3807289,56.13,47.45
2026-03-11 00:27:12.811942,324.22481226957206,326.9030264030683,323.7774237914761,325.4596273872978,7465841,62.29,52.39
2026-03-12 00:27:12.811942,326.6953284595813,328.16451290888546,326.88905749733544,327.1620879639122,1105416,71.33,58.71
2026-03-13 00:27:12.811942,325.22707842665346,329.7752010924717,326.0396094202024,327.02310706102935,5392888,72.61,63.34
2026-03-14 00:27:12.811942,323.37490319320136,326.3094361140906,322.8465633051763,324.8099864154535,5254292,66.8,64.49
2026-03-15 00:27:12.811942,324.3993379418454,328.13688058437964,323.0394757824241,325.55737259636163,5061554,64.42,64.47
2026-03-16 00:27:12.811942,326.2388025011468,330.00064257115895,325.7254870194083,328.03430720629757,4816901,70.14,66.36
2026-03-17 00:27:12.811942,325.73218449437854,328.62120062465925,325.2821419222382,327.4202907791555,8259959,68.55,67.09
2026-03-18 00:27:12.811942,326.85404815892775,328.3558312225631,327.14130640225136,327.20379624238103,2861946,66.0,66.72
2026-03-19 00:27:12.811942,323.78926167201246,325.7115828466737,324.20573601904965,325.4458777216825,8112151,56.11,63.19
2026-03-20 00:27:12.811942,324.07159166145277,325.14604939830986,323.88421917479576,324.9293703390668,2269208,47.11,57.83
2026-03-21 00:27:12.811942,327.11561221820426,329.09418165371466,327.41648659848556,327.8774073134747,8404492,54.85,56.83
2026-03-22 00:27:12.811942,330.2962708831015,333.4037144173423,327.713381143019,330.5622775772972,8428555,60.93,58.2
