date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.106207,321.6724468483209,325.7380123615099,320.8677091795577,323.41972621534416,5227968,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.106207,322.9927932601064,325.3681462231406,320.742680907049,323.71595094693004,7173894,50.0,50.0,0.05,0.05,0.05
2026-05-10 01:20:38.106207,324.43959216366073,327.46286320426964,323.02881102437635,324.6407631844588,4900311,50.0,50.0,0.22,0.22,0.22
2026-05-11 01:20:38.106207,321.07757291855506,325.3703456015935,322.4270687793315,322.7891974802567,6102830,50.0,50.0,-0.26,-0.26,-0.26
2026-05-12 01:20:38.106207,318.89372618086765,322.93614247029024,319.09309623413253,320.59342752147484,9854331,50.0,50.0,-0.75,-0.75,-0.75
2026-05-13 01:20:38.106207,316.8197855823681,321.76829214032824,315.89363075342743,318.76859297408157,9769786,50.0,50.0,-1.03,-1.1,-1.1
2026-05-14 01:20:38.106207,317.80897879046086,318.27777240924576,315.71201017329975,318.1430380183549,9556042,50.0,50.0,-0.89,-1.11,-1.11
2026-05-15 01:20:38.106207,320.6155472420249,322.2747664653599,319.75722655380713,321.87755343656414,8342701,50.0,50.0,0.45,0.04,0.04
2026-05-16 01:20:38.106207,318.6569534982355,321.03466560435817,317.28383670114977,318.7438580340914,9431399,41.93,47.31,-0.28,-0.83,-0.83
2026-05-17 01:20:38.106207,320.0921554921753,324.2124129568912,319.413389512921,321.6959242235547,2905419,44.93,46.52,0.58,0.08,0.08
2026-05-18 01:20:38.106207,323.9383065744996,325.2471911813698,322.8357060396808,323.9767944956306,9358834,53.4,48.81,0.96,0.77,0.72
2026-05-19 01:20:38.106207,322.3928506180928,324.8728711955288,321.6667456034253,324.1727051093145,6052213,64.8,54.14,0.65,0.82,0.71
2026-05-20 01:20:38.106207,320.20746437694874,324.46449639077304,320.05342126088414,321.85452402765986,8049163,64.67,57.65,-0.07,0.18,-0.01
2026-05-21 01:20:38.106207,316.0983769490871,320.337972429298,316.57957654945994,317.97793721504,8070067,51.04,55.45,-1.23,-0.87,-1.13
2026-05-22 01:20:38.106207,314.320487714192,317.4066511982829,314.3018851326104,316.2663951479784,3991944,40.01,50.3,-1.43,-1.27,-1.55
2026-05-23 01:20:38.106207,312.6606656783002,314.5096495999424,312.62928123790766,314.36210710314936,8333877,31.25,43.95,-1.43,-1.73,-2.01
2026-05-24 01:20:38.106207,314.5373708005461,317.67909540948864,315.6247788609584,315.8094003429847,2791129,29.23,39.04,-0.46,-1.21,-1.47
2026-05-25 01:20:38.106207,315.84949564287257,318.2852037189409,315.579585666098,316.19208281367764,6962335,28.9,35.66,0.02,-0.91,-1.28
2026-05-26 01:20:38.106207,316.50584429697403,317.5696300008744,316.14383715684295,317.324502041124,4312283,31.67,34.33,0.42,-0.51,-0.87
2026-05-27 01:20:38.106207,313.7744141767975,315.4120679800228,311.55654381607064,314.4773999555634,9613687,28.43,32.36,-0.37,-1.18,-1.68
2026-05-28 01:20:38.106207,318.84672624515844,322.1238854256662,317.32807880281393,319.18255350288825,6466024,38.64,34.46,0.82,0.45,-0.14
2026-05-29 01:20:38.106207,319.79173504372443,324.0596872145018,318.6530126317454,321.4595461098374,5629668,52.16,40.36,1.17,1.25,0.61
2026-05-30 01:20:38.106207,318.48511242657,321.6687610455983,319.6659344537925,320.18329102826715,3257326,57.77,46.16,0.52,0.9,0.28
2026-05-31 01:20:38.106207,319.31311034299074,323.01534555327646,320.9437703238723,321.1182220088106,3087770,64.01,52.11,0.57,1.1,0.6
2026-06-01 01:20:38.106207,324.19378990122465,326.4447061023142,322.88587083453365,324.80268009194083,5641589,72.33,58.85,1.07,1.98,1.69
2026-06-02 01:20:38.106207,324.46045823789325,325.2795012988496,322.6985376287807,324.76516204735884,7843559,77.79,65.16,0.71,1.64,1.58
2026-06-03 01:20:38.106207,323.11693140970795,326.66839329057643,321.9621796272899,323.724437993925,3355007,78.7,69.68,0.25,1.06,1.16
2026-06-04 01:20:38.106207,319.21270541660914,320.89143141921664,319.98811854609886,320.22222223886826,7353097,71.58,70.31,-0.84,-0.16,0.1
2026-06-05 01:20:38.106207,319.1349129304036,321.8191633922207,319.07513219468586,319.5822228199393,7303691,55.77,65.46,-0.94,-0.43,-0.12
2026-06-06 01:20:38.106207,318.40275044811926,321.38369624567866,316.9966731401401,318.7139969939424,1203513,43.1,58.01,-0.84,-0.83,-0.34
