date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2024-06-03,125.0,129.85000610351562,122.54000091552734,127.12000274658205,11447900,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-06-04,126.875,127.66999816894533,122.88999938964844,125.86000061035156,6879800,0.0,0.0,50.0,50.0,-0.5,-0.5,-0.5
2024-06-05,126.83000183105467,136.85000610351562,126.72000122070312,136.6699981689453,12612300,0.0,0.0,50.0,50.0,5.23,5.23,5.23
2024-06-06,134.7899932861328,138.41000366210938,132.41000366210938,137.125,8874500,0.0,0.0,50.0,50.0,4.12,4.12,4.12
2024-06-07,136.92999267578125,140.97000122070312,135.30999755859375,136.57000732421875,6610100,0.0,0.0,50.0,50.0,2.94,2.94,2.94
2024-06-10,134.78500366210938,142.08999633789062,132.5,139.91000366210938,8872700,0.0,0.0,50.0,50.0,3.46,4.51,4.51
2024-06-11,139.0800018310547,147.5,139.0,143.9199981689453,11434800,0.0,0.0,50.0,50.0,3.66,6.36,6.36
2024-06-12,146.0,158.7100067138672,145.1999969482422,155.58999633789062,17284300,0.0,0.0,50.0,50.0,9.09,12.87,12.87
2024-06-13,157.3350067138672,161.49000549316406,150.6699981689453,158.0500030517578,15371900,0.0,0.0,63.72,54.57,7.66,12.82,12.82
2024-06-14,159.89999389648438,167.69000244140625,153.5,157.88999938964844,22260000,0.0,0.0,68.52,59.22,4.51,11.29,11.29
2024-06-17,160.1699981689453,162.6999969482422,153.6199951171875,160.2899932861328,12826900,0.0,0.0,72.99,63.81,3.31,10.4,11.67
2024-06-18,160.02999877929688,177.30999755859375,159.32000732421875,174.1300048828125,22339100,0.0,0.0,79.64,69.09,8.03,16.08,19.19
2024-06-20,173.1300048828125,173.85000610351562,156.0,160.77000427246094,22162300,0.0,0.0,74.12,70.77,-0.9,5.48,9.2
2024-06-21,156.56199645996094,162.1999969482422,151.3730010986328,160.3000030517578,21727700,0.0,0.0,70.09,70.54,-1.46,3.59,8.2
2024-06-24,156.8699951171875,157.77000427246094,150.60000610351562,151.07000732421875,9260900,0.0,0.0,57.23,66.1,-6.35,-3.28,1.83
2024-06-25,151.57000732421875,161.9499969482422,149.5,160.61000061035156,9813900,0.0,0.0,54.15,62.12,-0.47,1.48,7.71
2024-06-26,161.6300048828125,166.8000030517578,159.50999450683594,164.72000122070312,11598300,0.0,0.0,54.34,59.53,3.28,2.73,9.79
2024-06-27,162.55599975585938,168.82000732421875,160.7899932861328,166.93499755859375,8980300,0.0,0.0,57.13,58.73,3.86,3.38,10.57
2024-06-28,167.25,170.8800048828125,162.3300018310547,163.6199951171875,7095900,0.0,0.0,55.01,57.49,1.38,0.98,7.9
2024-07-01,163.42999267578125,163.85000610351562,152.5500030517578,158.8300018310547,8387500,0.0,0.0,47.86,54.28,-2.52,-2.03,4.49
2024-07-02,156.85000610351562,163.6199951171875,155.27000427246094,163.4600067138672,5753500,0.0,0.0,51.01,53.19,-0.03,0.63,6.27
2024-07-03,162.4199981689453,170.66000366210938,159.30999755859375,168.24000549316406,6649300,0.0,0.0,63.23,56.54,2.45,3.94,7.89
2024-07-05,172.0,182.6499938964844,169.60000610351562,181.19000244140625,14231300,0.0,0.0,74.02,62.36,8.45,10.55,14.56
2024-07-08,181.0399932861328,186.3800048828125,179.51499938964844,184.6999969482422,9516800,0.0,0.0,81.16,68.63,7.83,11.04,15.05
2024-07-09,186.1000061035156,188.75,179.11000061035156,182.27999877929688,9236900,0.0,0.0,81.48,72.91,3.58,7.57,11.95
2024-07-10,183.38999938964844,187.47000122070312,178.5,186.4600067138672,6986400,0.0,0.0,85.55,77.12,3.26,8.38,12.9
2024-07-11,186.83999633789065,187.27999877929688,173.02999877929688,173.19000244140625,10662200,0.0,0.0,76.04,76.76,-4.61,0.17,3.95
2024-07-12,174.07000732421875,183.0500030517578,173.5,181.17999267578125,8999700,0.0,0.0,77.05,76.86,-0.21,3.94,7.91
2024-07-15,182.1100006103516,183.7400054931641,176.86000061035156,177.52999877929688,5469500,0.0,0.0,73.53,75.75,-1.44,1.04,5.13
2024-07-16,180.0,180.9499969482422,172.5399932861328,178.77000427246094,5767500,0.0,0.0,71.05,74.18,-0.37,0.6,5.21
2024-07-17,169.97999572753906,172.36000061035156,161.52999877929688,161.6999969482422,12350600,0.0,0.0,47.58,65.32,-7.32,-8.91,-4.87
2024-07-18,165.85000610351562,166.66000366210938,152.22000122070312,158.3300018310547,10996300,0.0,0.0,37.29,55.98,-7.68,-10.31,-6.42
2024-07-19,162.85000610351562,165.0500030517578,160.6300048828125,163.39999389648438,7106800,0.0,0.0,35.06,49.0,-2.71,-6.5,-3.5
2024-07-22,165.47000122070312,168.7899932861328,162.67999267578125,163.5500030517578,6179100,0.0,0.0,34.09,44.03,-0.97,-5.26,-3.5
2024-07-23,163.24000549316406,173.22999572753906,161.8699951171875,171.6999969482422,8036800,0.0,0.0,41.25,43.1,4.86,0.07,0.69
2024-07-24,167.14999389648438,167.14999389648438,157.17999267578125,157.67999267578125,9321100,0.0,0.0,33.27,39.83,-3.22,-6.53,-7.45
2024-07-25,151.67999267578125,155.6300048828125,140.0,149.13999938964844,15996000,0.0,0.0,29.15,36.27,-7.42,-10.32,-12.06
2024-07-26,155.36000061035156,155.50999450683594,145.61000061035156,149.0,8156200,0.0,0.0,26.76,33.1,-5.82,-8.63,-11.68
2024-07-29,146.3800048828125,149.9499969482422,138.7100067138672,141.44000244140625,9603100,0.0,0.0,20.47,28.89,-8.03,-11.31,-15.6
2024-07-30,140.72999572753906,142.07000732421875,129.10000610351562,132.9600067138672,11738900,0.0,0.0,16.57,24.78,-8.96,-14.16,-20.05
2024-07-31,143.41000366210938,145.47999572753906,138.94000244140625,144.1699981689453,16513000,0.0,0.0,22.43,24.0,0.58,-5.86,-12.8
2024-08-01,128.7100067138672,134.8699951171875,118.18000030517578,121.51000213623048,31205200,0.0,0.0,16.97,21.65,-11.83,-18.7,-25.45
2024-08-02,114.73999786376952,115.62999725341795,108.7300033569336,113.4499969482422,14670000,0.0,0.0,13.75,19.02,-13.2,-21.47,-28.92
2024-08-05,98.5,113.5,96.66000366210938,110.4499969482422,15552600,0.0,0.0,15.69,17.91,-11.29,-20.63,-29.15
2024-08-06,115.52999877929688,117.97000122070312,109.5,113.38999938964844,11425000,0.0,0.0,19.92,18.58,-5.97,-14.95,-25.62
2024-08-07,117.8000030517578,120.08999633789062,106.52999877929688,107.08999633789062,13228500,0.0,0.0,19.18,18.78,-5.38,-16.51,-27.88
2024-08-08,111.8000030517578,118.68000030517578,107.94000244140624,118.43000030517578,9931700,0.0,0.0,26.41,21.32,5.21,-5.4,-18.74
2024-08-09,118.9800033569336,120.29000091552734,115.7699966430664,117.0,6421300,0.0,0.0,31.49,24.71,3.29,-4.09,-17.91
2024-08-12,117.66000366210938,122.0,115.31999969482422,117.12999725341795,6345200,0.0,0.0,34.97,28.13,2.2,-2.03,-16.04
2024-08-13,119.6999969482422,125.6999969482422,118.3000030517578,123.79000091552734,8894400,0.0,0.0,46.98,34.42,6.09,4.34,-9.49
2024-08-14,128.82000732421875,130.6999969482422,123.79000091552734,125.91999816894533,11101700,0.0,0.0,59.97,42.93,4.54,7.79,-6.71
2024-08-15,129.75999450683594,132.0500030517578,128.42999267578125,130.44000244140625,8011300,0.0,0.0,71.8,52.56,6.17,10.82,-2.35
2024-08-16,131.1999969482422,133.10000610351562,129.8000030517578,130.3000030517578,6100600,0.0,0.0,77.69,60.93,3.81,9.13,-1.23
2024-08-19,130.6199951171875,132.44000244140625,126.29000091552734,132.30999755859375,6272100,0.0,0.0,84.13,68.67,2.92,8.83,1.49
2024-08-20,132.21499633789062,135.60000610351562,128.02000427246094,129.9499969482422,5847700,0.0,0.0,82.61,73.32,0.13,5.45,1.3
2024-08-21,131.41000366210938,131.4600067138672,127.79000091552734,131.1999969482422,6235300,0.0,0.0,81.18,75.94,0.28,4.42,3.34
2024-08-22,132.42999267578125,133.6300048828125,128.5500030517578,129.72000122070312,4736300,0.0,0.0,77.79,76.55,-0.75,2.32,2.97
2024-08-23,130.0,138.0500030517578,129.74000549316406,135.6300048828125,7286800,0.0,0.0,81.11,78.07,2.94,5.43,8.23
2024-08-26,134.5050048828125,135.3000030517578,127.36000061035156,128.89999389648438,6042300,0.0,0.0,66.02,74.05,-1.66,-0.71,3.38
2024-08-27,127.46499633789062,131.6199951171875,125.48999786376952,131.1999969482422,4241400,0.0,0.0,59.16,69.09,-0.1,0.49,5.3
2024-08-28,130.0,131.3000030517578,121.87999725341795,125.31999969482422,7388100,0.0,0.0,46.53,61.57,-3.71,-3.97,1.35
2024-08-29,125.5,134.94000244140625,125.37000274658205,131.92999267578125,9715200,0.0,0.0,51.74,58.29,1.02,0.98,6.24
2024-08-30,133.32000732421875,137.10000610351562,131.83999633789062,132.8800048828125,4763100,0.0,0.0,57.17,57.92,2.18,1.51,6.18
2024-09-03,129.86500549316406,130.38999938964844,122.04000091552734,123.73999786376952,6382500,0.0,0.0,41.95,52.6,-4.09,-4.85,-1.65
2024-09-04,121.6999969482422,123.4000015258789,117.41999816894533,120.9499969482422,6041600,0.0,0.0,33.67,46.29,-4.74,-6.35,-4.15
2024-09-05,118.8000030517578,124.46700286865234,118.62999725341795,123.08999633789062,4660200,0.0,0.0,31.61,41.39,-2.71,-4.09,-3.07
2024-09-06,122.00399780273438,122.16500091552734,114.91000366210938,117.29000091552734,6770000,0.0,0.0,24.65,35.81,-5.1,-7.71,-7.6
